Year_Birth,Education,Income
1956,Master,50943.0
1975,Graduation,53201.0
1963,Graduation,54414.0
1972,Graduation,26290.0
1959,Graduation,61250.0
1947,Basic,28389.0
1965,Master,55250.0
1966,Graduation,37758.0
1966,Graduation,37758.0
1957,PhD,37633.0
1963,PhD,33629.0
1967,PhD,36947.0
1952,Graduation,69142.0
1959,Graduation,53154.0
1960,PhD,65695.0
1952,PhD,69805.0
1978,2n Cycle,36975.0
1973,Graduation,26228.0
1972,Master,37787.0
1974,PhD,37087.0
1952,2n Cycle,57247.0
1954,PhD,36930.0
1963,Master,48721.0
1969,Master,43641.0
1951,Graduation,75903.0
1956,Graduation,71391.0
1976,PhD,16927.0
1961,Graduation,27215.0
1976,Graduation,53858.0
1963,Graduation,30983.0
1952,Graduation,43462.0
1956,Graduation,63943.0
1986,Graduation,26816.0
1976,2n Cycle,75484.0
1966,Master,33564.0
1953,Master,54348.0
1959,Graduation,54984.0
1984,Graduation,34738.0
1963,Graduation,68118.0
1963,Graduation,68118.0
1973,Graduation,22682.0
1975,Graduation,51948.0
1969,Graduation,25293.0
1969,Graduation,25293.0
1964,PhD,41551.0
1962,PhD,56067.0
1952,Graduation,67433.0
1983,Graduation,22010.0
1952,2n Cycle,64831.0
1954,Graduation,62820.0
1954,Graduation,62820.0
1959,2n Cycle,78353.0
1966,Master,57183.0
1965,Graduation,23478.0
1978,Graduation,30168.0
1989,Graduation,37155.0
1985,Basic,16581.0
1980,Graduation,41850.0
1967,Master,81380.0
1981,Graduation,56386.0
1971,Graduation,25818.0
1984,Graduation,15345.0
1977,Master,57954.0
1952,Graduation,50300.0
1955,PhD,38725.0
1989,2n Cycle,10404.0
1991,Basic,26868.0
1949,Graduation,72298.0
1958,Graduation,72905.0
1976,Graduation,47025.0
1985,Graduation,29938.0
1948,PhD,46681.0
1948,PhD,46681.0
1970,Master,29548.0
1956,Master,62058.0
1969,Master,
1963,PhD,36736.0
1952,Master,8820.0
1963,Basic,14918.0
1974,Graduation,56715.0
1978,Basic,24882.0
1978,Basic,24882.0
1952,Master,40442.0
1965,2n Cycle,64176.0
1983,PhD,23536.0
1958,Graduation,35246.0
1978,Graduation,28442.0
1956,Graduation,48195.0
1982,2n Cycle,74116.0
1947,Master,78093.0
